[INFO      ] (Dummy-5   ), 2017/08/08 01:21:56, Acq. 87, Trigger: RaspPi, RecNum: 87
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:57, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:57, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:57, Acq. 88, Trigger: RaspPi, RecNum: 88
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:58, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:58, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:21:58, Acq. 89, Trigger: RaspPi, RecNum: 89
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:21:59, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:00, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:00, Acq. 90, Trigger: RaspPi, RecNum: 90
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:01, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:01, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:01, Acq. 91, Trigger: RaspPi, RecNum: 91
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:03, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:03, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:03, Acq. 92, Trigger: RaspPi, RecNum: 92
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:04, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:04, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:04, Acq. 93, Trigger: RaspPi, RecNum: 93
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:05, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:06, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:06, Acq. 94, Trigger: RaspPi, RecNum: 94
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:06, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:07, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:07, Acq. 95, Trigger: RaspPi, RecNum: 95
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:08, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:08, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:08, Acq. 96, Trigger: RaspPi, RecNum: 96
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:09, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:10, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:10, Acq. 97, Trigger: RaspPi, RecNum: 97
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:11, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:11, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:11, Acq. 98, Trigger: RaspPi, RecNum: 98
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:12, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:13, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:13, Acq. 99, Trigger: RaspPi, RecNum: 99
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:14, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:14, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:22:14, Acq. 100, Trigger: RaspPi, RecNum: 100
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:22:15, Ready
