[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:47, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:48, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:48, Acq. 56, Trigger: RaspPi, RecNum: 56
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:48, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:48, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:48, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:49, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:49, Acq. 57, Trigger: RaspPi, RecNum: 57
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:49, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:49, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:50, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:51, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:51, Acq. 58, Trigger: RaspPi, RecNum: 58
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:51, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:51, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:51, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:51, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:52, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:52, Acq. 59, Trigger: RaspPi, RecNum: 59
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:52, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:52, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:52, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:52, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:52, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:53, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:53, Acq. 60, Trigger: RaspPi, RecNum: 60
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:53, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:54, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:55, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:55, Acq. 61, Trigger: RaspPi, RecNum: 61
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:55, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:55, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:55, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:55, Partial or no data received, retrying capture
[WARNING   ] (Dummy-9   ), 2017/08/08 01:20:55, Partial or no data received, retrying capture
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:55, Ready
[DEBUG     ] (Dummy-9   ), 2017/08/08 01:20:56, Acquiring
[INFO      ] (Dummy-9   ), 2017/08/08 01:20:56, Acq. 62, Trigger: RaspPi, RecNum: 62
